,name,category,project,guest,bedroom,bathroom,price,discounted,normal price,province,state,country
62,SensesHouse5b,Studio Apartment,None,3,1,1,27,0,Invalid,Hoàn Kiếm,Hà Nội,Vietnam
63,"Betania Home Danang Beach, 2-bedroom, 2 balconies (501)",Service Apartment,None,4,2,2,22,0,Invalid,Ngũ Hành Sơn,Đà Nẵng,Vietnam
64,Cozy and Quiet Studio near Tien Son Bridge ,Studio Apartment,Halla Jade Residences,2,1,1,133,1,242,Hải Châu,Đà Nẵng,Vietnam
65,Lamer Homestay - phòng gia đình sân vườn,Other,None,6,1,1,35,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
66,Mayli Homestay Đà Lạt - Phòng đôi 2 người City View - Khu biệt thự độc lập - 5p đến trung tâm,Other,None,3,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
67,Soleil Apartment- Deluxe Double View,Service Apartment,None,2,1,0,33,1,37,Đống Đa,Hà Nội,Vietnam
68,Apartment for rent with 1bedroom in Phan Xich Long Street,Studio Apartment,None,2,1,1,21,0,Invalid,Phú Nhuận,Hồ Chí Minh,Vietnam
69,Betel Garden Villa,Villa,None,3,1,10,33,1,39,Hội An,Quảng Nam,Vietnam
70,Bespoke Villa Hoi An - A Home sweet home in Acient Town,Villa,None,2,1,1,20,0,Invalid,Hội An,Quảng Nam,Vietnam
71,Lam's Apartment (Superior 101),Service Apartment,None,2,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
72,Seasand Apartment Đà Nẵng,Service Apartment,None,3,1,1,17,1,24,Ngũ Hành Sơn,Đà Nẵng,Vietnam
73,Westlake-Central-Apartments,Service Apartment,None,2,1,1,22,1,24,Tây Hồ,Hà Nội,Vietnam
74,Super Romantic Couple Nest - Luxurious Brandnew 76m2 ,Condominium,Sunrise Cityview,2,1,1,68,1,113,Quận 7,Hồ Chí Minh,Vietnam
75,Hana House - Cabbage Room,Other,None,2,1,1,18,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
76,"À côté de rive homestay-Cozy home,quite space,rooftop for BBQ,near Ancient area",Other,None,2,1,1,13,1,15,Đống Đa,Hà Nội,Vietnam
77,1 King bed_Bathtub@Partial Sea View,Service Apartment,None,3,1,1,23,1,26,Ngũ Hành Sơn,Đà Nẵng,Vietnam
78,"[-20%] 1BR Amazing view, Clean room❤️Free Breakfast&Biclycle❤️Green Hill Villa Hoi An",Villa,None,2,1,1,17,0,Invalid,Hội An,Quảng Nam,Vietnam
79,"5BR, Fabulous villa for 10 people, Hoi An, Vietnam",Villa,None,10,5,5,109,0,Invalid,Hội An,Quảng Nam,Vietnam
80,Scandinavian room @ No.10 Homestay,Other,None,3,1,1,17,1,22,Đống Đa,Hà Nội,Vietnam
81,Staycious Dalat 2*Deluxe room*B.2.1*,Entire House,None,3,1,1,20,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
82,Vung Tau Milan Homestay 6 - Melody Queen Appartment,Condominium,Vũng Tàu Melody,12,2,2,25,1,28,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
83,Yellow Lantern Room | Near the beach | Relaxed Area ,Entire House,None,3,1,1,23,1,26,Ngũ Hành Sơn,Đà Nẵng,Vietnam
